Date,MAIN_FILTER_IN_PRESSURE
01-01-2018,10.33828449
01-02-2018,9.580142975
01-03-2018,9.377434731
01-04-2018,9.697716713
01-05-2018,10.22071362
01-06-2018,9.49905777
01-07-2018,9.977459908
01-08-2018,9.417973518
01-09-2018,9.977459908
01-10-2018,9.940970421
01-11-2018,9.859886169
01-12-2018,10.500453
1/13/2018,9.977459908
1/14/2018,9.580142975
1/15/2018,10.01800251
1/16/2018,9.940970421
1/17/2018,9.458519936
1/18/2018,9.977459908
1/19/2018,9.819343567
1/20/2018,9.377434731
1/21/2018,10.65856934
1/22/2018,9.138234138
1/23/2018,10.29774189
1/24/2018,9.697716713
1/25/2018,10.05854416
1/26/2018,9.697716713
1/27/2018,10.33828449
1/28/2018,9.900428772
1/29/2018,10.29774189
1/30/2018,10.13962936
1/31/2018,9.738259315
02-01-2018,9.900428772
02-02-2018,9.859886169
02-03-2018,10.33828449
02-04-2018,10.45991135
02-05-2018,10.29774189
02-06-2018,9.940970421
02-07-2018,8.976064682
02-08-2018,10.5815382
02-09-2018,10.18017197
02-10-2018,9.977459908
02-11-2018,10.22071362
02-12-2018,10.73965454
2/13/2018,9.977459908
2/14/2018,9.859886169
2/15/2018,10.73965454
2/16/2018,9.738259315
2/17/2018,9.377434731
2/18/2018,10.29774189
2/19/2018,9.940970421
2/20/2018,9.697716713
2/21/2018,10.05854416
2/22/2018,10.01800251
2/23/2018,9.819343567
2/24/2018,9.900428772
2/25/2018,9.819343567
2/26/2018,9.539604187
2/27/2018,10.5815382
2/28/2018,9.138234138
03-01-2018,10.22071362
03-02-2018,9.819343567
03-03-2018,8.376039505
03-04-2018,9.859886169
03-05-2018,9.977459908
03-06-2018,9.940970421
03-07-2018,10.05854416
03-08-2018,9.738259315
03-09-2018,10.09908676
03-10-2018,9.900428772
03-11-2018,9.738259315
03-12-2018,10.13962936
3/13/2018,9.738259315
3/14/2018,9.697716713
3/15/2018,9.900428772
3/16/2018,9.417973518
3/17/2018,9.977459908
3/18/2018,9.49905777
3/19/2018,10.09908676
3/20/2018,9.859886169
3/21/2018,9.738259315
3/22/2018,9.900428772
3/23/2018,8.858490944
3/24/2018,10.41936874
3/25/2018,9.738259315
3/26/2018,9.65717411
3/27/2018,10.05854416
3/28/2018,9.859886169
3/29/2018,10.18017197
3/30/2018,10.05854416
3/31/2018,10.05854416
04-01-2018,9.819343567
04-02-2018,9.458519936
04-03-2018,9.778800964
04-04-2018,10.09908676
04-05-2018,10.13962936
04-06-2018,8.73686409
04-07-2018,9.738259315
04-08-2018,9.49905777
04-09-2018,10.05854416
04-10-2018,8.73686409
